store,product,price,date
alvear,NOT CO BURGER 160GR,3049.99,19-06-2024 16:52
alvear,HAMBURGUESA PALADINI VEGETAL 2U 160GR,1899.99,19-06-2024 16:52
alvear,MEDALLON FELICES LAS VACAS KARNEVIL 2U 160GR,1999.99,19-06-2024 16:52
carrefour,VEGETALEX BURGER,2.819,19-06-2024 16:52
carrefour,HAMBURGUESA PALADINI VEGETAL 2U 160GR,2.300,19-06-2024 16:52
changomas,NOT CO BURGER 160GR,2.274,19-06-2024 16:52
changomas,VEGETALEX BURGUER,3.760,19-06-2024 16:52
changomas,HAMBURGUESA PALADINI VEGETAL 2U 160GR,2.277,19-06-2024 16:52
dia,NOT CO BURGER 160GR,2.490,19-06-2024 16:52
jumbo,NOT CO BURGER 160GR,3600.0,19-06-2024 16:52
la_anonima,NOT CO BURGER 160GR,3.350,19-06-2024 16:52
la_anonima,VEGETALEX BURGER,3.800,19-06-2024 16:52
coto,NOT CO BURGER 160GR,3.209,19-06-2024 16:52
coto,VEGETALEX BURGER,3.529,19-06-2024 16:52
